cc;amount;year;month;product
DK;14;2016;12;crude
FI;0;2016;12;crude
FR;904;2016;12;crude
IE;580;2016;12;crude
IT;0;2016;12;crude
MQ;261;2016;12;crude
NL;6559;2016;12;crude
PL;0;2016;12;crude
PT;0;2016;12;crude
ES;1054;2016;12;crude
GB;8158;2016;12;crude
SE;1014;2016;12;crude
ZA;0;2016;12;crude
DE;1212;2016;12;crude
US;968;2016;12;crude
BS;0;2017;01;crude
BE;0;2017;01;crude
CA;468;2017;01;crude
DK;1017;2017;01;crude
FI;393;2017;01;crude
FR;980;2017;01;crude
IE;848;2017;01;crude
IT;0;2017;01;crude
LT;0;2017;01;crude
MQ;0;2017;01;crude
NL;4613;2017;01;crude
PL;0;2017;01;crude
ES;301;2017;01;crude
GB;9661;2017;01;crude
SE;769;2017;01;crude
DE;2907;2017;01;crude
US;0;2017;01;crude
BS;462;2017;02;crude
BE;0;2017;02;crude
CA;281;2017;02;crude
DK;964;2017;02;crude
FI;761;2017;02;crude
FR;295;2017;02;crude
IE;583;2017;02;crude
IT;256;2017;02;crude
LT;402;2017;02;crude
MQ;0;2017;02;crude
NL;2951;2017;02;crude
PL;975;2017;02;crude
ES;1041;2017;02;crude
GB;8291;2017;02;crude
SE;327;2017;02;crude
DE;1287;2017;02;crude
US;0;2017;02;crude
BS;0;2017;03;crude
BE;0;2017;03;crude
CA;421;2017;03;crude
DK;653;2017;03;crude
FI;0;2017;03;crude
FR;562;2017;03;crude
IE;842;2017;03;crude
IT;0;2017;03;crude
LT;0;2017;03;crude
MQ;87;2017;03;crude
NL;2906;2017;03;crude
PL;0;2017;03;crude
ES;885;2017;03;crude
GB;8685;2017;03;crude
SE;1123;2017;03;crude
DE;1850;2017;03;crude
US;0;2017;03;crude
BS;275;2017;04;crude
BE;179;2017;04;crude
CA;717;2017;04;crude
DK;597;2017;04;crude
FI;926;2017;04;crude
FR;267;2017;04;crude
IE;305;2017;04;crude
IT;284;2017;04;crude
LT;0;2017;04;crude
MQ;0;2017;04;crude
NL;3145;2017;04;crude
PL;0;2017;04;crude
ES;1042;2017;04;crude
GB;8922;2017;04;crude
SE;1402;2017;04;crude
DE;1279;2017;04;crude
US;0;2017;04;crude
BS;0;2017;05;crude
BE;0;2017;05;crude
CA;427;2017;05;crude
DK;712;2017;05;crude
FI;372;2017;05;crude
FR;897;2017;05;crude
IE;270;2017;05;crude
IT;326;2017;05;crude
LT;378;2017;05;crude
MQ;0;2017;05;crude
NL;4486;2017;05;crude
PL;0;2017;05;crude
ES;277;2017;05;crude
GB;7011;2017;05;crude
SE;1321;2017;05;crude
DE;1251;2017;05;crude
US;920;2017;05;crude
BS;0;2017;06;crude
BE;0;2017;06;crude
CA;644;2017;06;crude
DK;1463;2017;06;crude
FI;551;2017;06;crude
FR;660;2017;06;crude
IE;538;2017;06;crude
IT;255;2017;06;crude
LT;0;2017;06;crude
MQ;0;2017;06;crude
NL;2134;2017;06;crude
PL;0;2017;06;crude
ES;480;2017;06;crude
GB;7088;2017;06;crude
SE;1370;2017;06;crude
DE;1446;2017;06;crude
US;434;2017;06;crude
BS;0;2017;07;crude
BE;0;2017;07;crude
CA;490;2017;07;crude
DK;710;2017;07;crude
FI;0;2017;07;crude
FR;831;2017;07;crude
IE;290;2017;07;crude
IT;0;2017;07;crude
LT;0;2017;07;crude
MQ;0;2017;07;crude
NL;1827;2017;07;crude
PL;108;2017;07;crude
ES;253;2017;07;crude
GB;7386;2017;07;crude
SE;1517;2017;07;crude
DE;1166;2017;07;crude
US;482;2017;07;crude
BS;0;2017;08;crude
BE;0;2017;08;crude
CA;0;2017;08;crude
DK;1131;2017;08;crude
